attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
13,0,14,207,205,0,2,10.0,1.2,5.6,26.5,1.0,1.0,0.0,10.0,1.0,6054.0,0.0,43,0.0,7.83
105,0,100,1499,1455,0,8,10.0,1.6,54.8,541.6,3.0,0.5,3.9,8.0,7.0,1.62,0.25,159,1.25,5.93
69,22,23,823,820,22,5,-1.0,2.0,73.2,652.9,2.8,0.3,4.0,9.0,9.0,0.8,0.29,115,1.42,0.0
360,1,381,5506,5477,0,32,10.0,1.4,122.3,1363.1,62.4,0.4,32.9,10.0,10.0,2.49,0.28,239,1.75,7.4
9,0,1,69,69,0,5,-1.0,2.0,9.9,135.2,0.2,0.0,0.7,0.0,0.0,0.0,1.0,38,1.11,0.0
9,0,1,69,69,0,11,3.33,2.0,122.6,1107.0,1.5,0.3,8.5,7.0,7.0,0.4,0.35,100,0.9,0.0
1116,50,324,24227,23863,50,19,5.0,1.4,415.0,3621.0,252.3,0.4,59.9,10.0,10.0,0.33,0.05,499,1.33,6.92
108,7,34,1164,1165,7,11,0.0,2.0,38.3,491.7,4.9,0.4,5.0,10.0,8.0,2.47,0.13,234,1.25,5.06
398,57,359,5393,5475,57,37,10.0,2.0,327.7,1956.5,14.6,0.2,13.8,10.0,10.0,4.24,0.31,215,1.63,9.16
115,0,44,1325,1293,0,11,5.0,2.0,46.7,546.3,3.8,0.3,4.0,9.0,8.0,1.45,0.32,162,1.0,5.5
144,0,582,1682,1679,0,1,-1.0,1.6,38.1,554.9,3.4,0.0,6.5,3.67,3.67,1.18,0.68,141,1.33,4.52
107,27,210,1626,1657,27,8,10.0,1.2,2.7,58.1,2.8,0.4,0.7,10.0,6.0,310.7,0.21,14,0.41,8.73
44,0,103,571,583,0,5,5.0,1.9,8.0,87.5,1.2,0.8,0.2,10.0,1.0,32.09,0.05,26,1.13,6.35
91,0,120,1152,1191,0,17,5.0,1.2,10.7,126.2,1.3,0.8,1.1,10.0,5.0,20.05,0.12,39,0.71,9.15
192,35,139,2530,2685,35,16,5.0,2.0,73.4,587.5,5.9,0.2,2.2,10.0,9.0,18.04,0.29,58,1.25,6.42
75,40,97,1013,1072,38,7,10.0,2.0,5.0,44.6,1.0,1.0,0.3,10.0,1.0,648.73,0.0,12,0.0,8.69
1,0,0,0,0,0,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
1,0,0,0,0,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.03
336,0,117,3287,3249,0,19,10.0,2.0,166.2,1522.9,2.3,0.5,20.0,10.0,10.0,2.05,0.08,249,2.13,7.73
204,0,56,2697,2649,0,13,10.0,2.0,92.0,1058.6,38.0,0.4,20.4,10.0,8.0,2.21,0.31,230,1.33,7.53
160,11,509,1948,2160,11,10,10.0,0.9,92.2,933.8,2.8,0.6,11.3,10.0,9.0,1.04,0.07,330,1.88,9.34
83,103,519,1194,1284,92,4,0.0,1.9,3.5,104.8,7.7,0.7,1.7,10.0,2.0,24.91,0.1,21,0.89,8.11
10,0,47,163,177,0,1,-1.0,1.6,0.0,14.3,0.8,0.8,0.0,10.0,0.0,0.0,0.0,2,0.0,2.61
