attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
62,9,5,542,551,9,3,8.35,1.29,83.71,657.57,4.14,0.29,3.14,10.0,10.0,0.03,0.17,89,1.38,7.83
152,45,347,1368,1413,45,3,10.0,1.43,94.86,1150.71,14.57,0.57,12.71,10.0,10.0,0.58,0.1,98,1.5,0.0
152,45,347,1368,1413,45,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
74,0,69,610,610,0,13,8.35,1.57,127.71,981.86,4.0,0.29,7.43,10.0,10.0,0.21,0.26,138,1.0,5.93
69,0,51,557,557,0,4,5.0,0.86,25.29,222.43,1.71,0.71,3.43,10.0,2.86,8.33,0.0,35,0.61,0.0
89,0,73,818,815,0,6,5.0,0.86,67.86,625.43,7.57,0.0,3.57,10.0,10.0,0.37,0.3,108,0.87,7.4
66,0,136,682,682,0,7,5.0,0.86,59.14,761.14,2.14,0.57,6.0,10.0,10.0,0.0,0.15,113,1.91,0.0
66,0,136,682,682,0,2,10.0,2.0,75.22,733.67,4.89,0.44,7.67,8.89,8.89,0.0,0.26,83,1.25,0.0
159,0,15,1487,1487,0,8,5.0,0.71,263.0,2300.71,19.86,0.29,40.86,10.0,10.0,0.11,0.3,321,1.5,6.92
68,5,47,668,641,5,8,5.0,1.14,47.29,520.0,5.86,0.43,0.57,10.0,10.0,0.35,0.4,44,1.75,0.0
384,0,1721,4286,4286,0,12,5.0,1.29,168.71,1941.71,82.71,0.14,21.57,10.0,10.0,0.19,0.25,226,1.75,0.0
80,0,15,875,867,0,5,5.0,2.0,82.29,685.57,3.86,0.0,2.0,10.0,10.0,0.09,0.35,163,1.13,5.06
257,0,97,2131,2129,0,24,10.0,2.0,222.0,1768.86,5.71,0.43,18.71,10.0,10.0,0.73,0.08,225,2.0,9.16
228,0,146,2125,2123,0,11,5.0,1.0,122.14,1273.0,8.14,0.14,34.86,10.0,10.0,0.01,0.11,113,1.25,5.5
13,0,3,134,134,0,5,5.0,1.43,0.29,12.0,0.86,0.43,0.0,5.71,0.0,0.0,0.5,3,0.0,0.0
327,129,906,3348,3477,129,4,10.0,1.43,61.71,985.86,8.43,0.14,12.43,10.0,8.57,1.46,0.24,106,1.88,4.52
144,0,124,1496,1496,0,6,10.0,1.0,127.71,1226.43,55.71,0.57,23.43,10.0,10.0,0.07,0.02,129,1.75,8.73
66,0,69,621,621,0,3,8.35,1.29,57.86,665.86,2.71,0.57,6.86,10.0,10.0,0.31,0.06,89,1.22,6.35
87,0,118,867,867,0,6,8.35,1.57,41.57,554.29,11.0,0.14,4.43,10.0,10.0,2.76,0.4,110,1.75,9.15
95,26,23,834,855,26,6,5.0,1.71,55.14,697.71,1.0,0.71,7.29,10.0,10.0,1.33,0.0,85,2.0,6.42
63,0,115,518,518,0,3,10.0,0.86,61.29,622.29,1.43,0.71,7.29,10.0,10.0,0.92,0.07,121,1.5,8.69
85,0,6,1163,1163,0,2,10.0,0.0,100.29,1040.57,5.14,0.29,14.14,10.0,10.0,0.38,0.11,157,0.9,0.0
104,33,94,974,1007,33,3,10.0,0.71,106.71,1247.14,11.71,0.29,15.71,10.0,10.0,0.12,0.27,119,1.38,7.73
96,0,100,750,750,0,4,10.0,1.57,86.57,802.29,13.71,0.0,2.71,10.0,10.0,0.28,0.64,90,1.13,7.53
84,0,134,746,746,0,2,10.0,1.43,43.57,440.43,5.71,0.14,2.43,10.0,10.0,0.35,0.34,94,1.3,9.34
59,81,387,590,661,71,4,10.0,0.57,41.57,411.71,7.29,0.29,2.29,10.0,7.14,3.27,0.12,90,1.0,8.11
115,0,4,963,963,0,3,5.0,2.0,76.43,717.29,13.0,0.14,5.86,10.0,10.0,0.14,0.18,91,0.76,2.61
63,0,0,607,607,0,5,5.0,1.43,39.29,473.0,2.57,0.57,3.29,10.0,10.0,0.01,0.07,64,1.5,3.12
42,0,18,368,368,0,4,5.0,1.71,31.57,431.14,4.57,0.29,1.43,10.0,10.0,0.07,0.39,44,1.13,2.71
59,0,8,542,543,0,1,5.0,1.29,0.29,17.86,1.14,0.86,0.0,10.0,0.0,0.0,0.07,8,0.0,5.84
98,0,4,841,841,0,8,8.35,1.14,15.43,178.86,1.86,0.43,2.0,10.0,5.71,8.05,0.1,33,1.0,7.83
58,0,1,450,450,0,2,8.35,2.0,38.14,425.86,0.71,0.43,4.43,10.0,10.0,0.08,0.0,74,1.11,3.29
81,0,93,769,769,0,7,10.0,1.43,38.86,500.57,3.71,0.29,1.71,10.0,8.57,0.64,0.18,93,0.91,7.07
80,0,0,766,758,0,4,5.0,1.57,16.57,215.86,4.86,0.43,1.71,10.0,5.71,5.92,0.25,56,1.44,1.64
56,0,38,519,519,0,5,10.0,1.0,46.0,425.71,2.57,0.57,2.29,10.0,10.0,0.05,0.11,43,1.0,5.11
87,0,4,604,604,0,2,5.0,1.57,57.0,796.71,4.43,0.0,1.57,8.57,8.57,0.0,0.3,155,1.3,2.03
82,0,7,619,621,0,8,5.0,0.43,85.14,1775.43,4.29,0.43,10.43,10.0,10.0,0.03,0.1,369,1.27,5.02
61,0,0,588,588,0,1,5.0,1.71,24.43,382.57,3.29,0.14,0.0,10.0,10.0,0.0,0.38,42,1.17,3.25
39,0,97,335,335,0,4,5.0,2.0,26.71,364.86,0.57,0.57,2.71,8.57,8.57,0.35,0.14,73,1.13,1.43
109,0,88,972,972,0,3,0.0,1.71,29.86,425.14,2.71,0.29,3.0,10.0,10.0,0.05,0.05,72,1.44,1.45
214,0,208,1601,1601,0,3,8.35,2.0,66.43,699.86,7.14,0.29,8.29,10.0,8.57,0.71,0.11,79,0.75,3.93
91,0,31,753,753,0,2,5.0,2.0,36.29,451.29,1.57,0.57,5.0,10.0,10.0,0.1,0.06,52,1.42,2.47
28,0,68,224,224,0,6,10.0,0.86,41.86,438.71,2.14,0.43,3.71,10.0,8.57,0.42,0.0,42,1.44,1.99
71,0,63,646,646,0,5,5.0,1.0,76.14,853.14,1.43,0.86,6.57,10.0,10.0,0.17,0.1,126,1.1,5.01
83,0,238,632,632,0,7,5.0,1.14,32.0,368.86,1.29,0.14,2.14,8.57,8.57,0.0,0.24,39,1.88,5.71
126,0,2,1049,1049,0,9,5.0,2.0,79.86,861.57,3.86,0.14,6.86,10.0,10.0,0.42,0.32,148,1.88,2.77
103,0,512,935,935,0,2,10.0,1.14,153.29,1239.71,3.14,0.14,12.57,10.0,10.0,0.4,0.12,205,1.09,1.65
41,0,135,247,255,2,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.47
73,0,57,688,688,0,4,5.0,2.0,27.57,454.86,1.71,0.71,4.86,10.0,10.0,0.09,0.19,46,1.13,2.54
214,28,626,1844,1872,28,7,10.0,1.71,236.86,2496.0,17.43,0.14,25.0,10.0,10.0,0.89,0.5,130,1.13,7.55
68,0,27,587,587,0,4,10.0,1.71,164.86,2426.43,9.14,0.14,26.57,10.0,10.0,1.15,0.28,97,1.33,7.12
266,1069,1050,2904,3968,1069,8,0.0,1.43,138.57,1366.43,11.29,0.29,24.14,10.0,10.0,0.59,0.36,188,1.5,1.17
237,120,7,1964,2067,120,7,0.0,1.0,105.43,2442.29,4.86,0.14,19.29,7.14,7.14,0.72,0.36,55,1.67,2.63
100,0,143,938,938,0,12,10.0,0.71,184.14,2001.29,5.86,0.43,8.29,10.0,10.0,0.06,0.24,325,1.13,1.46
53,0,2,411,409,0,7,5.0,1.71,35.29,297.0,4.57,0.43,3.86,7.14,5.71,4.82,0.18,31,1.38,2.08
231,0,224,2573,2573,0,2,0.0,2.0,32.14,548.71,4.57,0.43,7.71,7.14,7.14,0.21,0.0,81,1.5,5.09
86,0,53,636,636,0,3,8.35,2.0,113.14,852.14,5.29,0.0,8.86,8.57,8.57,0.04,0.47,89,0.5,3.16
