attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
21,0,2,216,216,0,3,-1.0,1.2,2.7,38.5,1.6,0.8,0.2,10.0,1.0,2880.0,0.13,61,0.0,7.83
48,0,60,488,488,0,3,-1.0,1.4,33.6,310.2,1.2,0.9,3.3,10.0,4.0,2.84,0.05,84,0.64,5.93
109,0,152,1275,1275,0,19,-1.0,2.0,42.3,543.8,2.8,0.6,5.9,10.0,9.0,1.58,0.04,173,1.67,0.0
304,0,90,3015,3016,0,13,10.0,1.4,85.4,1009.9,6.4,0.2,27.8,10.0,10.0,0.67,0.15,285,0.89,7.4
182,0,173,2137,2137,0,12,5.0,1.1,118.5,1198.2,5.8,0.3,10.7,6.0,6.0,0.01,0.42,331,1.63,0.0
182,0,173,2137,2137,0,5,3.33,2.0,112.9,1028.0,1.0,0.6,10.0,8.0,8.0,0.04,0.25,126,1.36,0.0
707,46,32,7968,8014,46,15,10.0,1.4,266.3,2472.9,335.3,0.4,20.6,10.0,10.0,0.62,0.15,393,1.25,6.92
108,2,13,871,873,2,6,0.0,2.0,34.0,383.1,2.7,0.4,2.6,10.0,6.0,1.65,0.16,206,1.0,5.06
288,76,218,3174,3256,76,33,10.0,2.0,152.8,1190.3,11.3,0.2,11.2,10.0,10.0,1.16,0.09,317,2.38,9.16
222,85,174,2428,2491,63,8,5.0,1.7,78.5,744.5,4.5,0.1,7.8,10.0,10.0,0.12,0.29,199,1.55,5.5
153,0,538,1753,1753,0,6,10.0,1.0,73.1,958.0,4.2,0.4,7.1,10.0,10.0,0.43,0.27,196,1.0,4.52
170,0,89,1778,1778,0,18,10.0,0.2,199.2,1198.2,1.6,0.6,11.3,10.0,10.0,0.69,0.03,207,1.18,8.73
57,4,148,734,738,4,8,10.0,1.8,0.2,21.2,1.1,0.9,0.4,10.0,0.0,0.0,0.05,31,0.0,6.35
45,6,19,491,491,0,8,10.0,0.5,14.6,137.7,1.5,0.8,1.5,10.0,4.0,7.27,0.02,20,1.47,9.15
230,3,272,2350,2353,3,9,5.0,1.9,50.1,376.3,3.8,0.6,5.0,10.0,9.0,9.02,0.32,93,1.44,6.42
74,80,288,867,927,60,9,3.35,1.3,6.9,46.7,1.7,0.6,0.6,10.0,1.0,262.13,0.17,20,0.0,8.69
188,12,61,1860,1872,12,8,5.0,2.0,48.9,354.2,1.3,0.9,5.6,10.0,7.0,4.44,0.05,60,0.93,7.73
94,0,32,1227,1227,0,10,5.0,2.0,40.2,434.7,12.5,0.4,5.0,10.0,9.0,1.04,0.22,123,1.25,7.53
67,0,48,558,554,0,10,10.0,0.2,50.1,585.1,3.6,0.7,3.5,10.0,10.0,0.41,0.09,240,1.25,9.34
17,0,12,185,185,0,3,-1.0,2.0,0.0,17.5,2.5,0.4,0.4,10.0,1.0,0.0,0.0,6,0.0,8.11
23,2,9,198,200,2,4,-1.0,2.0,0.0,29.4,3.0,0.6,0.2,10.0,1.0,0.0,0.09,14,0.0,2.61
21,2,9,210,212,2,4,-1.0,1.2,14.0,96.9,1.5,0.6,0.5,10.0,9.0,34.05,0.08,19,0.0,3.12
12,2,0,119,121,2,3,-1.0,1.8,1.5,53.8,1.6,0.6,0.0,10.0,4.0,39.55,0.18,19,0.0,2.71
22,13,20,335,348,13,9,5.0,2.0,0.0,23.3,1.0,1.0,0.0,10.0,0.0,0.0,0.0,74,0.0,5.84
38,2,26,421,423,2,5,5.0,1.3,6.9,91.6,1.9,0.8,0.0,10.0,3.0,11.32,0.12,28,1.27,7.83
21,8,13,215,223,8,12,-1.0,2.0,26.9,101.6,1.6,0.7,0.2,10.0,1.0,59.14,0.08,11,0.38,3.29
58,2,13,876,878,2,11,5.0,1.0,0.9,18.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,2,0.0,7.07
88,2,0,787,789,2,3,0.0,2.0,9.4,65.1,1.4,0.4,0.3,6.67,4.67,38.6,0.49,12,0.0,1.64
36,0,79,613,613,0,7,5.0,2.0,0.4,13.8,0.7,0.6,0.0,10.0,0.0,0.0,0.05,4,0.0,5.11
20,4,0,186,190,4,4,0.0,2.0,2.9,70.9,1.4,0.7,0.0,10.0,5.0,30.7,0.13,36,0.44,2.03
175,2,6,1999,2001,2,14,0.0,1.5,67.2,568.0,1.5,0.6,7.8,10.0,10.0,1.71,0.22,198,1.4,5.02
12,2,2,100,102,2,1,0.0,1.4,0.0,19.2,1.0,1.0,0.0,10.0,0.0,0.0,0.0,3,0.0,3.25
15,2,0,127,129,2,1,-1.0,2.0,11.6,123.3,2.2,0.6,0.0,10.0,9.0,19.86,0.14,18,0.0,1.43
63,21,100,693,714,21,9,0.0,1.6,23.5,217.6,7.5,0.2,0.2,10.0,6.0,26.31,0.49,24,0.75,1.45
10,2,4,96,98,2,17,-1.0,1.8,1.7,43.3,1.1,0.6,0.2,10.0,2.0,41.88,0.08,11,0.0,3.93
11,2,3,105,107,2,3,-1.0,2.0,2.8,38.7,1.3,0.7,0.0,10.0,3.0,111.25,0.13,13,0.0,1.99
12,2,2,115,117,2,4,-1.0,2.0,0.2,24.4,0.8,0.7,0.0,10.0,1.0,350.92,0.05,13,0.0,5.01
29,2,3,331,333,2,5,5.0,0.9,0.0,18.1,0.9,0.9,0.1,10.0,0.0,0.0,0.0,9,0.0,5.71
17,4,28,176,180,4,2,-1.0,1.4,5.5,45.5,0.8,0.3,0.0,10.0,3.0,0.0,0.03,7,0.0,2.77
10,2,88,96,98,2,1,-1.0,2.0,0.4,35.7,1.2,0.9,0.2,10.0,1.0,52.33,0.07,14,0.0,2.54
