attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
16,4,2,107,111,4,2,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,7.83
40,0,81,231,231,0,8,10.0,2.0,53.9,636.4,1.8,0.4,8.6,10.0,10.0,1.13,0.1,112,1.4,0.0
40,0,81,231,231,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
132,36,48,800,836,36,22,10.0,1.8,171.4,1307.3,10.3,0.1,15.1,10.0,10.0,1.08,0.11,280,1.38,5.93
115,6,16,703,709,6,11,5.0,1.0,61.6,834.0,2.4,0.7,11.1,10.0,10.0,0.93,0.1,161,1.5,0.0
43,31,17,259,289,30,12,10.0,1.1,69.7,725.9,2.4,0.6,5.9,10.0,9.0,0.26,0.16,167,1.0,7.4
82,0,53,436,436,0,17,5.0,2.0,141.1,1557.3,5.1,0.3,8.5,7.0,7.0,0.04,0.22,232,1.38,0.0
82,0,53,436,436,0,8,10.0,2.0,140.2,1483.8,3.4,0.3,9.2,10.0,10.0,0.28,0.24,179,1.56,0.0
79,322,0,466,788,322,8,10.0,1.1,207.5,1373.4,9.4,0.3,18.3,10.0,10.0,0.41,0.23,355,1.5,6.92
143,97,279,1211,1239,97,9,-1.0,2.0,56.7,703.8,15.3,0.0,0.4,7.0,7.0,0.96,0.67,177,1.25,0.0
40,0,39,237,237,0,10,10.0,1.6,204.6,1604.6,1.4,0.7,9.9,10.0,10.0,0.07,0.03,260,1.5,0.0
68,78,5,477,555,78,6,10.0,2.0,28.8,203.4,2.0,0.1,1.1,4.0,2.0,5.39,0.7,105,1.0,5.06
