attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
190,16,163,3666,3682,16,28,10.0,1.0,99.0,1068.22,24.67,0.33,6.11,10.0,10.0,4.25,0.36,163,1.63,7.83
280,12,948,5909,5921,12,11,1.65,1.56,162.0,1857.89,22.22,0.33,14.44,10.0,6.67,9.57,0.09,234,1.75,0.0
280,12,948,5909,5921,12,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
215,0,166,3073,3072,0,6,8.35,1.89,205.11,1924.78,7.44,0.11,10.33,8.89,8.89,0.32,0.24,273,1.88,5.93
76,109,28,1201,1310,109,11,0.0,0.89,33.33,414.11,4.44,0.67,3.22,10.0,4.44,6.63,0.1,45,1.3,0.0
288,0,112,3966,3966,0,18,5.0,1.0,156.22,1426.33,44.56,0.0,6.22,10.0,10.0,1.4,0.16,393,2.08,7.4
102,0,89,2029,2029,0,9,0.0,1.11,135.11,1340.56,2.22,0.0,6.78,2.97,2.97,0.05,0.62,235,1.5,0.0
102,0,89,2029,2029,0,12,-1.0,2.0,166.56,1634.67,5.44,0.0,13.0,4.44,4.44,0.09,0.47,216,1.44,0.0
1115,0,66,22902,22902,0,19,10.0,1.44,330.33,3589.56,461.56,0.11,34.78,10.0,10.0,0.6,0.24,464,1.5,6.92
107,50,299,1313,1391,50,13,0.0,1.56,19.11,289.0,0.78,0.0,1.78,0.74,0.74,3.17,0.89,50,1.38,0.0
411,0,1713,9803,9803,0,10,5.0,1.78,186.33,2347.22,99.33,0.0,24.56,5.19,5.19,0.29,0.44,216,1.44,0.0
201,0,11,2872,2870,0,12,5.0,1.67,72.56,1032.78,91.56,0.22,3.67,10.0,7.78,3.55,0.21,343,1.36,5.06
631,34,484,13090,13124,34,50,5.0,1.89,393.67,5431.89,43.56,0.11,34.78,10.0,10.0,1.97,0.19,559,1.67,9.16
470,0,162,7943,7943,0,22,8.35,1.44,253.89,2451.67,22.67,0.11,22.22,10.0,10.0,1.15,0.11,475,1.22,5.5
